Service Name,Used For,Production Account/URL,Credential Type,Env Variable(s),Where Stored,Owner,Access Level,Status,Last Verified Date,Notes
Vercel,Hosting and deployment,https://vercel.com/<team>/<project>,Account access,N/A,"Vercel Team + Password Manager",<owner>,Admin,Active,YYYY-MM-DD,Production deployment platform
Shopify,Products carts blogs and account login,https://<shop>.myshopify.com,Storefront token + domain,"SHOPIFY_DOMAIN; SHOPIFY_STOREFRONT_TOKEN; SHOPIFY_API_VERSION; SHOPIFY_DEFAULT_PRODUCT_HANDLE","Vercel Env + Password Manager",<owner>,Admin,Active,YYYY-MM-DD,Used by storefront APIs
Judge.me,Product reviews and review images,https://judge.me,API token + shop domain,"JUDGEME_PRIVATE_TOKEN; JUDGEME_SHOP_DOMAIN","Vercel Env + Password Manager",<owner>,Admin,Active,YYYY-MM-DD,Used by /api/reviews and upload-image route
Mailchimp,Newsletter subscription,https://mailchimp.com,API key + audience config,"MAILCHIMP_API_KEY; MAILCHIMP_DATA_CENTER; MAILCHIMP_LIST_ID","Vercel Env + Password Manager",<owner>,Admin,Active,YYYY-MM-DD,Used by /api/subscribe
SMTP Provider,Contact form email delivery,<smtp-provider-url>,SMTP credentials,"SMTP_HOST; SMTP_PORT; SMTP_USER; SMTP_PASSWORD; CONTACT_TO_EMAIL; CONTACT_FROM_EMAIL","Vercel Env + Password Manager",<owner>,Admin,Active,YYYY-MM-DD,Used by /contact form action
Instagram Graph API,Instagram feed content,https://developers.facebook.com,Access token and IDs,"INSTAGRAM_ACCESS_TOKEN; INSTAGRAM_USER_ID; INSTAGRAM_API_VERSION; INSTAGRAM_API_BASE","Vercel Env + Password Manager",<owner>,Developer,Active,YYYY-MM-DD,Used by /api/instagram
Microsoft Clarity,Session recordings and heatmaps,https://clarity.microsoft.com,Project ID,PUBLIC_CLARITY_PROJECT_ID,Vercel Env,<owner>,Analyst,Active,YYYY-MM-DD,Optional analytics
Mixpanel,Product analytics events,https://mixpanel.com,Project token,PUBLIC_MIXPANEL_TOKEN,Vercel Env,<owner>,Analyst,Active,YYYY-MM-DD,Optional analytics
Google Ads,Conversion tracking,https://ads.google.com,Conversion config,"PUBLIC_GOOGLE_ADS_CONVERSION_SEND_TO; PUBLIC_GOOGLE_ADS_CONVERSION_PATH; PUBLIC_GOOGLE_ADS_CONVERSION_VALUE; PUBLIC_GOOGLE_ADS_CONVERSION_CURRENCY; PUBLIC_GOOGLE_ADS_CONVERSION_TRANSACTION_ID",Vercel Env,<owner>,Analyst,Active,YYYY-MM-DD,Optional conversion events
Custom Domain DNS,Domain routing to Vercel,<domain-dns-provider>,DNS records,N/A,DNS provider dashboard,<owner>,Admin,Active,YYYY-MM-DD,A/ALIAS/CNAME verification
